,madlad
0,will the new members be involved in a common European foreign policy ?
1,"again , yes , and again yes !"
2,the problems of recent months did not arise because the new Members did not want to be
3,the third point is the compatible equipment .
4,"this is lacking within the Member States , and it is not at all possible to achieve cross"
5,if we are going to jointly use satellite or radar systems or even cooperate across borders
6,"Furthermore , it would be sensible - also for economic reasons - to have these standard"
7,"I would like to focus on one point in particular , which you , Mr President-in-"
8,there is sometimes a misunderstanding in the public opinion that there is only one foreign policy
9,"no , of course other measures are also foreign policy measures , that is quite clear ."
10,"but we have this specific line , the CFSP line , for the common foreign and security policy"
11,the Commission has proposed EUR 35 million for this .
12,Parliament proposes a reduction of EUR 14 million .
13,now we have to go into more detail on why .
14,"Parliament does not think that this area is not important , but it is about the question of decision"
15,we are finding – and I am saying this as the Commissioner for Budgets – that the
16,I know of examples where companies have to report the license plate number of the vehicle that is
17,next important steps will be to raise the simplification threshold to at least EUR
18,the Commission was asked by the Council decision to examine this step .
19,we also know from the past that the Commission is in principle very positive about this .
20,may I therefore ask Commissioner Solbes Mira what initiatives we can expect from the Commission and
21,further simplification steps should also be called for in the context of the SLIM 2
22,"Mr President , your intervention yesterday after the vote does you honour ."
23,it was noble and a testament to your political wisdom .
24,"it was also courageous , and I hope that this Parliament will have the courage to"
25,there is a lot at stake today .
26,"please , ladies and gentlemen , in the interests of the peoples of Europe whom"
27,what is the purpose of this agency in Kosovo ?
28,"it is supposed to be responsible for the reconstruction on the spot , but it is"
29,it is also responsible for the re-establishment of the rule of law .
30,it is responsible for the reconstruction of the infrastructure .
31,"it is responsible for the establishment of businesses , because all this is necessary to"
32,today I would like to speak in particular about the challenge of agriculture and enlargement to the
33,I congratulate Mr Olsson on his very successful report on enlargement of the European Union
34,how can the new Member States be successfully integrated into the common agricultural policy ?
35,this is a key issue for most of the candidate countries and it is crucial because agriculture in
36,this also applies to employment within the overall economy .
37,the accession of ten countries in 2004 will result in an increase of
38,"however , the number of consumers will grow by 24 % ."
39,"I am very sorry that , after the European Parliament had issued an opinion , a very good"
40,"this is actually unacceptable , especially towards the people concerned !"
41,the agreement symbolises the close relations between the Union and Macedonia and provides the basis for a rapid
42,the most important elements of the agreement are the establishment of a free trade area between the
43,"Mr President , I am going to reply to Mr Blak 's question ."
44,"the European Court of Auditors has , after all , stated in all years since 1"
45,"at the same time , the European Court of Auditors has repeatedly asked us , with"
46,"this is a major step , which is now also laid down in the Financial Regulation ."
47,at least we managed to prevent the registration obligation for substances with an annual production of
48,even the current classification of substances from 10 tonnes and above and their obliga
49,my vote is intended to support the rapporteur in her efforts to prevent the proposed re
50,"the European Council , in its conclusions on the occasion of the Berlin Summit , made it clear"
51,the reduction of the monthly premiums now intended would therefore be a clear bre
52,"given the worrying economic situation of the rural population , further income losses are not"
53,the income of people employed in agriculture has fallen by almost 10 % in
54,a reduction in the monthly premiums would further aggravate the economic situation of farmer
55,the situation for developing countries is worse than in the days of colonial rule .
56,"the key is fair world trade , where raw materials have to be priced at the prices they"
57,I think we can assume that the process of Cyprus ' accession to the EU is irrever
58,and we all hope that a united Cyprus can join .
59,"I would therefore like to ask you , Mr President-in-Office , one more question"
60,are there any signs that the Turkish Cypriot side is willing to accept the offer of
61,I am also very pleased that we have been able to achieve an additional one-year document
62,"progress is sometimes a snail , and it is not always a new substance that bring"
63,sometimes it is also an improvement in the investigation of an existing substance .
64,I believe that it is a very important step forward that we have achieved this .
65,"I cannot imagine that Austria – and I hear this from other countries , from Germany , from the"
66,"in the face of this vehement opposition , is the Commission really seriously considering liberal"
67,"if we cut in the arts and culture , we will not fill budget holes , we"
68,"after difficult negotiations , the Committee on Women 's Rights and Equal Opportunities"
69,we are extremely sorry that the Christian Democratic Group in particular has not been prepared to nego
70,the rapporteur was ready .
71,we would of course have liked to have seen the action programmes against social exclusion and
72,but every committee has had to accept compromises here .
73,what were their tasks ?
74,"according to Article 1 of the Treaty on European Union , their task was to achieve an"
75,"but no , the Heads of State and Government have stood in the way of this idea"
76,"now that they have returned from Nice , they are proud not of what they have given Europe"
77,"they are holding up the flags of national vetos , obstructions and delays"
78,this is not the Europe we have been talking about for decades .
79,this is a Europe of administrations .
80,"now is the time for parliaments , now is the time to show that parliaments were born"
81,"I strongly support the measures proposed in Mrs Theato 's report , but I"
82,"the fight against terrorism is an intellectual , political , economic and military task , and it can"
83,"we repeat that terrorism , as long as it has its roots in Islamic countries , because"
84,we have to say this again and again !
85,"I thank you , Mr President-in-Office , for having travelled to several countries with"
86,"we will also soon be convening the Mediterranean Forum - and I would like to thank you ,"
87,I warn against any inappropriate rhetoric !
88,"I am not satisfied with what Mr Nielson has said , nor with what Mr Bol"
89,"we must be able to expect a Commissioner to speak appropriate , careful language ."
90,"we will discuss this at the Conference of Presidents on Thursday and , depending on the out"
91,"all in all , her 55 amendments make the Commission proposal much more concrete ."
92,she has achieved a lot .
93,this proposal is the first implementation of Article 13 .
94,it concerns equal treatment regardless of skin colour or ethnic origin .
95,"it does not only address the most important areas of life , such as access to employment and"
96,the Commission is also trying to build on the experiences of the Member States .
97,the regulation of the reversal of the burden of proof will make the directive an
98,the defendant must now prove credibly that there is no discrimination .
99,with the creation of the internal market and the emergence of international providers of local transport
100,the Commission therefore proposes to give priority to competition rules over the public interest and to
101,"this approach is , in my view , rightly questioned by the rapporteur ."
102,it gives local authorities the right to decide on procurement practices themselves .
103,that is democracy and subsidiarity .
104,there must be no interference by the European Union in local and regional conditions .
105,"for me , this is a fundamental question , because it is a document of genuine subsidia"
106,two more points that have something to do with misunderstandings :
107,there is a misunderstanding that Mr Mulder raised and which I think Mr Sep
108,"we must also clarify in this report , through the amendment tabled by Mr Bö"
109,"I would like to illustrate this by using an example , namely Mr Seppänen'"
110,he described the Fléchard case as an irregularity – literally – and then link
111,"in this way , we are packing everything together and perhaps giving our visitors in the grand"
112,there can be no political interest in that .
113,we must ensure that this is kept apart .
114,"we say ' yes ' to accession , but we encourage and demand that the necessary measure"
115,"I therefore believe that it is necessary to help Tajikistan on its difficult path , by means"
116,threats to freedom of the press and expression around the world are one of the most sad
117,"like Parliament , the Commission takes the rampant persecution and suppression of freedom of expression and"
118,"this starts with the situation in the media , as some Members of this House have describe"
119,"I am , however , happy to inform the House that the Basque journalist , Mr Landaburu"
120,"he is badly injured , but thank God he will survive ."
121,"in order to make more effective use of the potential of local and regional jobs , we need"
122,"development agencies , observatories - including through the EU support programmes Socrates and Leonardo -"
123,the concept of lifelong learning then helps to adapt to technological change and acquire
124,"in the medium to short term , the statutory pension will no longer be able to fulfil"
125,"consequently , it is only right to expand pension provision in the second pillar –"
126,"the Kuckelkorn report deals with pensions in the second pillar , in other"
127,what is pension provision ?
128,"on this , as has also been said , opinions differ ."
129,"Mr President , ladies and gentlemen , I am very happy ."
130,the Commission 's proposal for an action programme in the field of public health for the years
131,the desire of many Members to add numerous points of concern in the Committee on the Environment
132,"there are countless repetitions , duplicate formulations , confusing passages , contradic"
133,"the Commission communication makes it quite clear , and the Commissioner has just said it quite clearly ,"
134,"Eurotoc , an independent consumer initiative for healthy food - we all know the Eurotoc chef"
135,I thank Mrs Stihler for her balanced report .
136,"breast implants , ladies and gentlemen , are also part of health for me ."
137,they are needed to reconstruct the breast .
138,"Aesthetic reasons often play a role , but if a person does not feel full"
139,"with the help of implants , a balance can be restored ."
140,"therefore , Commissioner , the conditions should be created for this to happen as quickly as possible ,"
141,"I would just like to announce that such a decision , which destroys parliamentarianism ,"
